buyer_id,buyer_name,export_country,export_region,buyer_type,order_count,total_boxes,total_stickers,primary_items,special_notes
BYR-089,Global_Mart_Canada (캐나다),수출 벤더사,글로벌 무역상사,글로벌 무역/수출 벤더사,844,41965,949685,"비타파워, 갈아만든배, 밀키스(미주용)",LCL 다품종 혼적 선적 비중 높음 (출하 박스 단위 바코드 및 라벨 식별성 철저 유지)
BYR-105,Pacific_Trade (캐나다),캐나다,북미,해외 직수출 거래처,230,33387,680452,"캐나다용 화이트 빼빼로, 스노위아몬드빼빼로, 초코빼빼로",캐나다 식품법상 영어/프랑스어 2개 공용어 병기(Bilingual) 필수 라벨 검수
BYR-110,Euro_PanAsia (오스트리아),오스트리아,유럽,현지 전문 수입유통사,324,23863,638500,"화이트쿠키 빼빼로, 아몬드빼빼로, 초코빼빼로",EU No 1169/2011 규정 준수 (14대 알레르기 유발성분 볼드체 강조 표기 필수)
BYR-103,Central_Asia_Logistics (몽골),몽골,아시아,현지 전문 수입유통사,109,15665,530084,"신쫄이 샤인머스캣, 신쫄이 딸기맛, 신당동신떡볶이",몽골어 번역 스티커 또는 영문 병기 라벨 부착 규정 준수
BYR-109,Euro_PanAsia (독일),독일,유럽,현지 전문 수입유통사,298,19499,466038,"아이스톡 블루레몬 에이드, 아이스톡 패션망고 에이드, 아이스톡 아메리카노 블랙",EU No 1169/2011 규정 준수 (14대 알레르기 유발성분 볼드체 강조 표기 필수)
BYR-005,K-Mart_Canada (캐나다),캐나다,북미,해외 한인/아시안 대형마트,138,13639,245646,"허니버터칩, 홈런볼 초코 벌크, 맛동산",캐나다 식품법상 영어/프랑스어 2개 공용어 병기(Bilingual) 필수 라벨 검수
BYR-097,Lotte_Global (캐나다),캐나다,북미,해외 직수출 거래처,41,7783,160017,"초코빼빼로, 신쫄이 딸기맛, 스노위아몬드빼빼로",캐나다 식품법상 영어/프랑스어 2개 공용어 병기(Bilingual) 필수 라벨 검수
BYR-013,Order #1410,수출 오더코드,일반 오더,일반 수출 오더코드,5,1980,131580,"캐나다용 초코쿠키 빼빼로, 초코필드 빼빼로, 캐나다용 아몬드 빼빼로",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-113,HanSang_Partners,수출 벤더사,글로벌 무역상사,글로벌 무역/수출 벤더사,59,4527,114359,"밀키스(캐나다용), 찰옥수수, 밀키스(미주용)",LCL 다품종 혼적 선적 비중 높음 (출하 박스 단위 바코드 및 라벨 식별성 철저 유지)
BYR-006,KR_Trading_Corp,수출 벤더사,글로벌 무역상사,글로벌 무역/수출 벤더사,35,4030,112020,"왕포도알 쭈쭈바, 서주아이스캔디 메론, 돼지바",LCL 다품종 혼적 선적 비중 높음 (출하 박스 단위 바코드 및 라벨 식별성 철저 유지)
BYR-093,Global_Health_Corp,기타 수출처,기타,현지 전문 수입유통사,111,5634,109864,"광동 진한 헛개차, 광동 옥수수 수염차, 옥수수 수염차",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-020,Order #1479,수출 오더코드,일반 오더,일반 수출 오더코드,13,1686,78220,"스노위아몬드빼빼로, 캐나다용 아몬드 빼빼로, 초코필드 빼빼로",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-004,H-Mart_Global (미주),미국,북미,해외 한인/아시안 대형마트,91,5825,76620,"구운 감자, 자유시간, 홈런볼 9팩",미국 FDA 영양성분표(Nutrition Facts) 서식 일치 및 서빙 사이즈 확인
