item_code,item_name,manufacturer_id,manufacturer_name,category_1,category_2,volume_value,volume_unit,standard_volume,default_pack_qty,difficulty_tier,benchmark_speed_hr
ITM-0001,2%복숭아,MFG-008,롯데칠성음료,음료,혼합음료/음료수,1.5,L,1.5L,16,중난이도 (16~31개),180.0
ITM-0002,ABC초코,MFG-001,롯데웰푸드,과자,초콜릿,72,g,72g,20,중난이도 (16~31개),461.5
ITM-0003,ABC초코쿠키,MFG-001,롯데웰푸드,과자,비스킷/쿠키,152,g,152g,26,중난이도 (16~31개),411.5
ITM-0004,NEW칸츄리콘,MFG-002,해태제과,과자,스낵,90,g,90g,14,저난이도 (16개 미만),487.2
ITM-0005,The빠새,MFG-002,해태제과,과자,스낵,100,g,100g,16,중난이도 (16~31개),180.0
ITM-0006,the빠새,MFG-002,해태제과,과자,스낵,100,g,100g,16,중난이도 (16~31개),180.0
ITM-0007,가나마일드,MFG-001,롯데웰푸드,과자,초콜릿,70,g,70g,16,중난이도 (16~31개),180.0
ITM-0008,가나프리미엄랑드샤모카,MFG-001,롯데웰푸드,과자,비스킷/쿠키,91,g,91g,12,저난이도 (16개 미만),400.0
ITM-0009,갈배사이다,MFG-014,해태htb,음료,탄산음료,1.5,L,1.5L,12,저난이도 (16개 미만),400.0
ITM-0010,갈아만든딸기,MFG-014,해태htb,음료,과채음료,238,12입 번들,238x12,72,고난이도 (32개 이상),395.6
ITM-0011,갈아만든배,MFG-014,해태htb,음료,과채음료,238,12입 번들,238x12,52,고난이도 (32개 이상),394.1
ITM-0012,계란과자,MFG-002,해태제과,과자,비스킷/쿠키,45,g,45g,20,중난이도 (16~31개),470.6
ITM-0013,고래밥볶음,MFG-005,오리온,과자,스낵,160,g,160g,12,저난이도 (16개 미만),400.0
ITM-0014,고소미,MFG-005,오리온,과자,비스킷/쿠키,70,g,70g,20,중난이도 (16~31개),434.8
ITM-0015,고소한땅콩샌드,MFG-006,크라운제과,과자,비스킷/쿠키,93,g,93g,16,중난이도 (16~31개),180.0
ITM-0016,고향만두김치,MFG-012,해태제과식품,냉동식품,만두,450,g,450g,16,중난이도 (16~31개),180.0
ITM-0017,고향만두야채(대),MFG-012,해태제과식품,냉동식품,만두,1350,g,1350g,16,중난이도 (16~31개),180.0
ITM-0018,고향만두야채(중),MFG-012,해태제과식품,냉동식품,만두,567,g,567g,16,중난이도 (16~31개),180.0
ITM-0019,고향만두잡채,MFG-012,해태제과식품,냉동식품,만두,450,g,450g,16,중난이도 (16~31개),180.0
ITM-0020,고향찹쌀만두피,MFG-012,해태제과식품,냉동식품,만두피,260,g,260g,24,중난이도 (16~31개),360.0
ITM-0021,고향찹쌀왕만두피,MFG-012,해태제과식품,냉동식품,만두피,360,g,360g,18,중난이도 (16~31개),372.4
ITM-0022,광동대추쌍화,MFG-004,광동제약,음료,전통차/건강음료,150,ml,150ml,16,중난이도 (16~31개),180.0
ITM-0023,광동대추쌍화진(낱개),MFG-004,광동제약,음료,전통차/건강음료,100,ml,100ml,10,저난이도 (16개 미만),300.0
ITM-0024,광동돼지감자차,MFG-004,광동제약,음료,차음료,500,ml,500ml,24,중난이도 (16~31개),504.0
ITM-0025,광동발효홍삼골드,MFG-004,광동제약,음료,건강음료,100,ml,100ml,50,고난이도 (32개 이상),464.3
ITM-0026,광동복분자,MFG-004,광동제약,음료,과채/건강음료,100,ml,100ml,16,중난이도 (16~31개),180.0
ITM-0027,광동비타500,MFG-004,광동제약,음료,비타민음료,100,10입 번들,100x10,60,고난이도 (32개 이상),500.0
ITM-0028,광동비타500(아연),MFG-004,광동제약,음료,비타민음료,180,ml,180ml,40,고난이도 (32개 이상),516.1
ITM-0029,광동비타500F캔,MFG-004,광동제약,음료,비타민음료,240,ml,240ml,27,중난이도 (16~31개),451.7
