raw_alias,standard_item_name,notes
the빠새,The빠새,대소문자 통일
촉칩,촉촉한초코칩,현장 약어
피카픽,초코픽,수기 오타 추정
초코파이흑당밀크,초코파이 흑당밀크,띄어쓰기 정규화
고향만두야채(대),고향만두야채(대),표준 규격
고향만두야채(중),고향만두야채(중),표준 규격
수출왕고래볶음,왕고래밥볶음,수출 표기
수출오감자,오감자,수출 표기
수출오감자칠리,오감자딥양념바베큐,수출 표기
버터링딥피스타치오&아몬드,버터링딥피스타치오,명칭 표준화
광동비타500신병,광동비타500,신병 표기 통일
신쫄이사과,신쫄이사과맛,맛 표기 통일
신쫄이딸기,신쫄이딸기맛,맛 표기 통일
신쫄이레몬콜라,신쫄이레몬콜라맛,맛 표기 통일
신당동떡볶이,신당동신떡볶이,명칭 통일
오예스쿠키앤크림,오예스 쿠키앤크림,띄어쓰기 통일
에이스바스크치즈,에이스 바스크치즈,띄어쓰기 통일
에이스씬에스프레소,에이스 씬에스프레소,띄어쓰기 통일
ABC 초코,ABC초코,공백 정규화 (초콜릿)
ABC 초코쿠키,ABC초코쿠키,공백 정규화 (비스킷)
NEW칸추리콘,NEW칸츄리콘,모음 오타 교정 (추->츄)
가나프리미엄량드샤 쇼콜라,가나프리미엄랑드샤쇼콜라,두음법칙 오타 교정 (량->랑) 및 공백 제거
가나프리미엄량드샤쇼콜라,가나프리미엄랑드샤쇼콜라,두음법칙 오타 교정 (량->랑)
광동 진한 헛개차(골드라벨),진한헛개차,광동제약 수식어 정규화
광동더진한헛개차(골드라벨),진한헛개차,광동제약 수식어 정규화
광동배타500,광동비타500,수기 오타 교정 (배타->비타)
광동비타500 오리지널,광동비타500,수식어 통합
광동비타500오리지널,광동비타500,수식어 통합
구운감사 슬림,구운감자슬림,자음 오타 교정 (감사->감자)
구운감자 슬림,구운감자슬림,공백 정규화
구워만든골물그대로21,구워만든곡물그대로21,자음 오타 교정 (골물->곡물)
국화빵 찰떡,국화빵찰떡모나카,빙과 공식 명칭 통일
국화빵,국화빵찰떡모나카,단축 명칭 통일
국화빵오리지날,국화빵찰떡모나카,수식어 통일
국화빵정통찰떡모나카,국화빵찰떡모나카,수식어 통일
꼬북칩 쵸코 츄러스,꼬북칩초코츄러스,모음 오타 교정 (쵸코->초코)
꼬북칩 초코 츄러스,꼬북칩초코츄러스,공백 정규화
꼬북콘스프,꼬북칩콘스프,단축 명칭 정규화
꼬북칩 콘스프,꼬북칩콘스프,공백 정규화
나랑드 파이애플,나랑드사이다파인애플,받침 오타 교정 (파이->파인)
나랑드사이다 파인애를,나랑드사이다파인애플,받침 오타 교정 (파인애를->파인애플)
나랑드사이다 파인애플,나랑드사이다파인애플,공백 정규화
롤리폴리초코,롤리폴리,초코 수식어 통합
롯샌 파인애틀,롯샌파인애플,받침 오타 교정 (틀->플)
마린오이,마린보이,수기/OCR 오타 교정 (오이->보이)
맛동산밤맛라떼맛,맛동산밤라떼맛,중복 음절 정규화
매일요구르트오어슈거,매일 요구르트 로어슈거,자음 오타 교정 (오어->로어)
밀쌀 보리차,밀싹보리차,받침 오타 교정 (밀쌀->밀싹)
광동밀싹보리차,밀싹보리차,제조사 접두어 통일
버터링 골도,버터링골드,모음 오타 교정 (골도->골드)
버터링 골드,버터링골드,공백 정규화
버터링 딥초크,버터링딥초코,모음 오타 교정 (딥초크->딥초코)
버터링 딥초코,버터링딥초코,공백 정규화
비쵸비5P,비쵸비,소포장 단위 통합
빠다코코넛,빠다코코낫,공식 명칭 통일 (코코넛->코코낫)
새콤달콜 포토,새콤달콤포도,"다중 오타 교정 (달콜->달콤, 포토->포도)"
새콤달콤 포도,새콤달콤포도,공백 정규화
