제품명,제조사,카테고리1,카테고리2,표준중량/규격
(냉동)가는면발우동면,기타제조사,과자,스낵,70g
2%복숭아,롯데칠성음료,음료,혼합음료/음료수,1.5L
4색쿨믹스,기타제조사,과자,스낵,70g
ABC초코,롯데웰푸드,과자,초콜릿,72g
ABC초코쿠키,롯데웰푸드,과자,비스킷/쿠키,152g
NEW칸츄리콘,해태제과,과자,스낵,90g
The빠새,해태제과,과자,스낵,100g
V라인수염차유기농,기타제조사,음료,음료수,500ml
ZERO말차크림모나카,기타제조사,과자,아이스크림,70g
box,기타제조사,과자,스낵,70g
box(외포장라벨링),공통/물류,물류소모품,소모품,1g
가나마일드,롯데웰푸드,과자,초콜릿,70g
가나밀크,롯데웰푸드,과자,스낵,70g
가나프리미엄랑드샤모카,롯데웰푸드,과자,비스킷/쿠키,91g
가나프리미엄랑드샤쇼콜라,롯데웰푸드,과자,스낵,91g
갈배사이다,해태htb,음료,탄산음료,1.5L
갈아만든딸기,해태htb,음료,과채음료,238mlx12
갈아만든배,해태htb,음료,과채음료,238mlx12
감자올모짜핫도그,기타제조사,과자,스낵,360g
검은콩칼슘,기타제조사,과자,스낵,950g
검은콩호두와아몬드,기타제조사,과자,스낵,950g
계란과자,해태제과,과자,비스킷/쿠키,45g
고기엔참소스,기타제조사,과자,스낵,70g
고래밥볶음,오리온,과자,스낵,160g
고소미,오리온,과자,비스킷/쿠키,70g
고소한땅콩샌드,크라운제과,과자,비스킷/쿠키,93g
고소한미숫가루두유,기타제조사,과자,스낵,190gx15
고소한한입인절미쌀과자,기타제조사,과자,스낵,190g
고향만두김치,해태제과식품,냉동식품,만두,450g
고향만두야채,해태제과식품,냉동식품,만두,567g
고향만두야채(대),해태제과식품,냉동식품,만두,1350g
고향만두야채(중),해태제과식품,냉동식품,만두,567g
고향만두잡채,해태제과식품,냉동식품,만두,450g
고향찹쌀만두피,해태제과식품,냉동식품,만두피,260g
고향찹쌀왕만두피,해태제과식품,냉동식품,만두피,360g
광동V라인슬림핏,광동제약,음료,건강음료,150ml
광동공진단(10환),광동제약,음료,건강음료,10환
광동공진단(90환),광동제약,음료,건강음료,90환
광동대추쌍화,광동제약,음료,전통차/건강음료,150ml
광동대추쌍화진(낱개),광동제약,음료,전통차/건강음료,100ml
광동더진한헛개차(골드라벨),광동제약,음료,음료수,250ml
광동돼지감자차,광동제약,음료,차음료,500ml
광동밀싹보리차,광동제약,음료,음료수,250ml
광동발효홍삼골드,광동제약,음료,건강음료,100ml
광동복분자,광동제약,음료,과채/건강음료,100ml
광동비타500,광동제약,음료,비타민음료,100mlx10
광동비타500(아연),광동제약,음료,비타민음료,180ml
광동비타500F캔,광동제약,음료,비타민음료,240ml
광동비타500zero,광동제약,음료,비타민음료,100ml
광동비타500zero스파클링,광동제약,음료,탄산음료,250ml
광동비타500zero스파클링유자,광동제약,음료,탄산음료,250ml
광동비타500로열폴리스,광동제약,음료,비타민음료,100ml
광동비타500비타민D1000IU,광동제약,음료,비타민음료,100ml
광동비타500스파클링,광동제약,음료,탄산음료,250ml
광동비타500신병,광동제약,음료,비타민음료,100mlx10
광동비타500오리지널,광동제약,음료,건강음료,250ml
광동비타500이온킥제로,광동제약,음료,혼합음료/스포츠음료,500ml
광동비타500젤리,광동제약,과자,젤리/캔디,48gx10
광동비타500치어팩,광동제약,음료,비타민음료,250ml
광동산삼배양근,광동제약,음료,건강음료,100ml
광동산삼배양근진액,광동제약,음료,건강음료,100ml
