plan_date,plan_month,planned_worker_count,base_work_hours,planned_overtime_hours,planned_overtime_worker_count,estimated_total_worker_hours,source_basis,memo
2026-01-02,2026-01,9.0,8.0,0.0,0.0,72.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-05,2026-01,8.0,8.0,0.0,0.0,64.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-06,2026-01,8.5,8.0,2.0,8.0,84.0,actual_seed_from_work_log,기존 작업실적 기준 seed row / 8명 2시간 연장
2026-01-07,2026-01,8.0,8.0,0.0,0.0,64.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-08,2026-01,9.0,8.0,2.0,9.0,90.0,actual_seed_from_work_log,기존 작업실적 기준 seed row / 연장 2시간
2026-01-09,2026-01,9.0,8.0,0.0,0.0,72.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-10,2026-01,8.0,8.0,0.0,0.0,64.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-12,2026-01,10.0,8.0,2.0,10.0,100.0,actual_seed_from_work_log,기존 작업실적 기준 seed row / 연장 2시간
2026-01-13,2026-01,10.0,8.0,0.0,0.0,80.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-14,2026-01,0.0,8.0,0.0,0.0,0.0,actual_seed_from_work_log,인원 미기재로 0 입력 / 계획값으로 사용 전 확인 필요
2026-01-15,2026-01,10.0,8.0,2.0,10.0,100.0,actual_seed_from_work_log,기존 작업실적 기준 seed row / 연장 2시간
2026-01-16,2026-01,9.5,8.0,0.0,0.0,76.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-17,2026-01,9.5,8.0,0.0,0.0,76.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-19,2026-01,10.0,8.0,0.0,0.0,80.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-20,2026-01,10.0,8.0,0.0,0.0,80.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-21,2026-01,10.0,8.0,2.0,10.0,100.0,actual_seed_from_work_log,기존 작업실적 기준 seed row / 연장 2시간
2026-01-22,2026-01,10.0,8.0,2.0,10.0,100.0,actual_seed_from_work_log,기존 작업실적 기준 seed row / 연장 2시간
2026-01-23,2026-01,10.0,8.0,0.0,0.0,80.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-24,2026-01,10.0,8.0,0.0,0.0,80.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-26,2026-01,10.0,8.0,0.0,0.0,80.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-27,2026-01,9.0,8.0,0.0,0.0,72.0,actual_seed_from_work_log,기존 작업실적 기준 seed row
2026-01-28,2026-01,0.0,8.0,0.0,0.0,0.0,actual_seed_from_work_log,인원 미기재로 0 입력 / 계획값으로 사용 전 확인 필요
2026-01-29,2026-01,0.0,8.0,0.0,0.0,0.0,actual_seed_from_work_log,인원 미기재로 0 입력 / 계획값으로 사용 전 확인 필요
2026-01-30,2026-01,0.0,8.0,0.0,0.0,0.0,actual_seed_from_work_log,인원 미기재로 0 입력 / 계획값으로 사용 전 확인 필요
